wals code	name	latitude	longitude	genus	family	subfamily	iso codes
nhn	Nahuatl (North Puebla)	20	-98.25	Aztecan	Uto-Aztecan		ncj
nhp	Nahuatl (Pochutla)	15.75	-96.5	Aztecan	Uto-Aztecan		
nht	Nahuatl (Tetelcingo)	19.6666666667	-99	Aztecan	Uto-Aztecan		nhg
nhu	Nahuatl (Huauchinango)	20.1666666667	-98.0833333333	Aztecan	Uto-Aztecan		
nhx	Nahuatl (Xalitla)	18	-99.5	Aztecan	Uto-Aztecan		ngu
nia	Nias	1	97.75	Sundic	Austronesian	Western Malayo-Polynesian	nia
nic	Nicobarese	7	93.8333333333	Nicobarese	Austro-Asiatic	Mon-Khmer	ncb
nif	Niuafo'ou	-15.5666666667	-175.616666667	Oceanic	Austronesian	Eastern Malayo-Polynesian	num
nih	Nihon Shuwa (Japanese Sign Language)	36	139	Sign Languages	other		jsl
nim	Nimboran	-2.5	140.166666667	Nimboran	Nimboran		nir
nin	Ningil	-3.5	142.25	Wapei-Palei	Torricelli		niz
nis	Nishi	27.5	93.5	Mirish	Sino-Tibetan	Tibeto-Burman	dap
nit	Nitinaht	48.6666666667	-124.75	Southern Wakashan	Wakashan		noo
niu	Niuean	-19.05	-170.116666667	Oceanic	Austronesian	Eastern Malayo-Polynesian	niu
niv	Nivkh	53.3333333333	142	Nivkh	Nivkh		niv
nju	Nyungar	-33.75	122	Pama-Nyungan	Australian		nys
nkb	Ngalkbun	-13.5	134.833333333	Gunwinygic	Australian	Gunwinyguan	ngk
nke	Nkem	6.58333333333	8.58333333333	Bantoid	Niger-Congo	Benue-Congo	isi
nkk	Nakkara	-12.1166666667	134.416666667	Nakkara	Australian		nck
nkn	Nkonya	7.16666666667	0.25	Kwa	Niger-Congo		nko
nko	Nkore-Kiga	-0.916666666667	29.8333333333	Bantoid	Niger-Congo	Benue-Congo	cgg
nkr	Nukuoro	3.83333333333	154.916666667	Oceanic	Austronesian	Eastern Malayo-Polynesian	nkr
nkt	Nyah Kur (Tha Pong)	15.6666666667	101.666666667	Monic	Austro-Asiatic	Mon-Khmer	cbn
nku	Nubian (Kunuz)	23	33	Nubian	Nilo-Saharan	Eastern Sudanic	kzh
nlu	Ngarluma	-20.8333333333	117.5	Pama-Nyungan	Australian		nrl
nma	Naga (Mao)	25.5	94.3333333333	Kuki-Chin-Naga	Sino-Tibetan	Tibeto-Burman	nbi
nmb	Nambikuára	-13	-59	Nambikuaran	Nambikuaran		nab
nmd	Nomad	-6.16666666667	142.25	East Strickland	East Strickland		smq
nmi	Nahuatl (Mecayapan Isthmus)	18.25	-94.8333333333	Aztecan	Uto-Aztecan		nhx
